Términos de búsqueda
Todo el período
Término de búsqueda,Tipo de concordancia con los términos de búsqueda,Agregadas/excluidas,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,% impr. (absoluto parte sup.),% impr. (parte sup.),Conversiones,Conv. posimpresión,Costo/conv.,Porcentaje de conv.
controlar la ansiedad y los pensamientos negativos,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas cosas relajantes,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas de relajación,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas para calmar,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas para desestresarte,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas para que te relajes,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas para relajar,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas para relajarse,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas para relajarse y desestresarse,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas para relajarte,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas que relajan,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas que te hacen relajar,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas que te relajan,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas relajadas,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas relajante,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cosas relajantes,Concordancia de frase (variante cercana),Ninguna,0,32,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
crisis de ansiedad como calmarla,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cual es la mejor terapia para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
cuatro consejos para eliminar la ansiedad y el miedo,Concordancia de frase (variante cercana),Ninguna,0,8,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cura ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cura definitiva de la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
cura para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
cura para la ansiedad y depresion,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
curar ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
curar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
curar la ansiedad para siempre,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
cómo ayudar a un adolescente con ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
cómo calma,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo calmar la ansiedad después de una ruptura amorosa,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
cómo calmar un ataque de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
cómo calmar una crisis de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo controlar un ataque de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo curar el estrés y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
cómo curar el nerviosismo,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo curar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo curar la ansiedad y depresión,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo curar la ansiedad y el estrés,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
cómo curar los nervios,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo dejar de sobrepensar,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo dejar de sobrepensar las cosas,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo eliminar el estrés en 5 minutos,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
cómo eliminar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo eliminar la ansiedad para siempre,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,50.00%,100.00%,0.00,0,0,0
cómo evitar la ansiedad de comer,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo hacer meditación,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo mantener la calma,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo me puedo relajar,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo podemos relajarnos,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo practicar la atención plena,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
cómo quitar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo quitar la ansiedad rápidamente,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
cómo relajarse,Concordancia de frase (variante cercana),Ninguna,0,6,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo superar la ansiedad y la depresión,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo tener paz mental,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo tranquilizar el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo tranquilizar el sistema nervioso excitado,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
cómo tranquilizar el sistema nervioso según frank suárez,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
de relajación,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
dejar de comer por ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
dejar de pensar para dormir,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
depresion y ansiedad como superar,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
desansiedad,Concordancia de frase (variante cercana),Ninguna,0,29,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
desansiedad fabiola cuevas,Concordancia de frase (variante cercana),Ninguna,0,6,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
desansiedad meditacion,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
descansar la mente para dormir,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
desensibilización sistemática y su aplicación para reducir la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
desestresarme,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
desestresarse en 5 minutos,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
digitopuntura para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
dinámica de relajación,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
disfrute de tu experiencia hasta calmar mi ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
doctora flores ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
dr david duarte ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
dr puig ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio de meditacion y relajacion,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio de relajacion,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio de relajación,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio de relajación para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio de respiracion para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio para ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio para controlar los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio para el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,11,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio para la ansiedad y el estres,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio para los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio para relajarse,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicio respiración ansiedad,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios antiestres,Concordancia de frase (variante cercana),Ninguna,0,6,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios antiestres y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios antiestrés,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios contra la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de meditacion para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de meditacion y relajacion,Concordancia de frase (variante cercana),Ninguna,0,9,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de paz mental,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
ejercicios de relajacion,Concordancia de frase (variante cercana),Ninguna,0,11,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de relajacion estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de relajacion para el estres,Concordancia de frase (variante cercana),Ninguna,0,6,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de relajacion para la ansiedad y el estres,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de relajación,Concordancia de frase (variante cercana),Ninguna,0,18,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de relajación para el estrés,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de relajación para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de relajamiento,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de respiracion para bajar el estres,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de respiracion para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,28,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de respiracion para relajarse,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de respiracion relajacion,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de respiración para controlar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios de respiración para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,15,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios mindfulness para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para aliviar el estres,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para aliviar el estrés,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para aliviar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para ansiedad generalizada,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para ansiedad y estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para ataques de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para ataques de panico y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para bajar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para bajar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para bajar la ansiedad y el estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para botar el estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para calmar el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para calmar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,6,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
ejercicios para calmar la ansiedad y los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para calmar un ataque de ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para combatir la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para controlar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para controlar los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para desestresar,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para desestresarse,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para disminuir la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para el estrés y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para el estrés y nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para eliminar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para eliminar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para eliminar la ansiedad y el estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
ejercicios para estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,5,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para estrés,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para estrés y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,34,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad generalizada,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad y depresion,Concordancia de frase (variante cercana),Ninguna,0,8,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad y depresión,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad y el estres,Concordancia de frase (variante cercana),Ninguna,0,9,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad y el miedo,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad y estres,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para la ansiedad y los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
ejercicios para la depresión y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para liberar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,8,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para los nervios,Concordancia de frase (variante cercana),Ninguna,0,5,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para los nervios y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para personas nerviosas,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para quitar el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para quitar el estrés y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,100.00%,100.00%,0.00,0,0,0
ejercicios para quitar estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para reducir ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para reducir el estres,Concordancia de frase (variante cercana),Ninguna,0,3,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para reducir el estres y la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para reducir estres ansiedad,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para reducir la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para relajar el cerebro,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para relajar el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para relajar la mente y el cuerpo,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para relajar los nervios,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para relajarse,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para relajarse antes de dormir,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para relajarse y quitar el estres,Concordancia de frase (variante cercana),Ninguna,0,14,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para respirar ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para tener paz mental,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para tranquilizar el sistema nervioso,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios para vencer la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios relajantes,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios relajantes antes de dormir,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios respiracion ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios respiracion para ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
ejercicios respiratorios para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
el citrato de magnesio sirve para la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
elimina ansiedad nervios y estrés relajación,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
elimina estres y ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
elimina la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
elimina los sintomas fisicos de la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
eliminar ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
eliminar ansiedad nervios y estres relajacion,Concordancia de frase (variante cercana),Ninguna,0,4,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
eliminar ansiedad y estres,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
enrique rojas ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
enrique villanueva ansiedad,Concordancia de frase (variante cercana),Ninguna,0,29,0.00%,PEN,0,0.00,0.00%,0.00%,0.00,0,0,0
enrique villanueva como superar la ansiedad,Concordancia de frase (variante cercana),Ninguna,0,6,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
entrena tu mente para mantener la calma,Concordancia de frase (variante cercana),Ninguna,0,2,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
eric vive sin ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
estoy muy nerviosa que puedo hacer para tranquilizarme,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0.00%,100.00%,0.00,0,0,0
estrategias para mantener la calma,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
estres y ansiedad que es y que podemos hacer,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
evitar comer por ansiedad,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
farmacos ansioliticos,Concordancia de frase (variante cercana),Ninguna,0,1,0.00%,PEN,0,0.00,0,0,0.00,0,0,0
